epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,143.566,1.46089,2.16072,1.30831,0.35965,0.42441,0.2828,0.15736,1.44208,2.91026,1.28834,0.000416202,0.000416202,0.000416202
2,285.052,1.33182,1.64003,1.24812,0.34386,0.46733,0.30744,0.17074,1.38946,2.94873,1.29139,0.000816378,0.000816378,0.000816378
3,420.149,1.30492,1.58303,1.24248,0.37121,0.45478,0.35749,0.20086,1.35933,2.98467,1.28792,0.00120005,0.00120005,0.00120005
4,557.657,1.27609,1.52448,1.23103,0.38631,0.47882,0.36459,0.2139,1.35829,3.09539,1.27895,0.00117575,0.00117575,0.00117575
5,695.842,1.25343,1.47818,1.2162,0.40444,0.51919,0.39299,0.23777,1.29518,2.94818,1.22948,0.001151,0.001151,0.001151
6,829.821,1.23248,1.43691,1.20533,0.42612,0.47901,0.39351,0.24013,1.26699,2.61618,1.23049,0.00112625,0.00112625,0.00112625
7,974.091,1.21358,1.40724,1.19999,0.39074,0.52064,0.38468,0.24089,1.26902,2.6608,1.23563,0.0011015,0.0011015,0.0011015
8,1108.05,1.20496,1.39343,1.18967,0.41667,0.46925,0.41385,0.25635,1.25116,2.97679,1.2101,0.00107675,0.00107675,0.00107675
9,1246.13,1.18901,1.36358,1.18133,0.43246,0.5527,0.42546,0.26703,1.22727,2.66121,1.20461,0.001052,0.001052,0.001052
10,1385,1.17623,1.34223,1.17523,0.432,0.5266,0.41712,0.25972,1.22231,2.74967,1.20869,0.00102725,0.00102725,0.00102725
11,1518.91,1.16268,1.32813,1.16867,0.43923,0.57565,0.4478,0.28088,1.18531,2.6566,1.18881,0.0010025,0.0010025,0.0010025
12,1657.87,1.15365,1.31247,1.16686,0.45991,0.55967,0.45602,0.29544,1.17527,2.74203,1.18699,0.00097775,0.00097775,0.00097775
13,1793.78,1.14859,1.29794,1.16394,0.47906,0.5375,0.47019,0.30261,1.18526,2.99341,1.18436,0.000953,0.000953,0.000953
14,1931.64,1.14918,1.2939,1.1568,0.45649,0.56471,0.47202,0.30739,1.16296,2.66911,1.17033,0.00092825,0.00092825,0.00092825
15,2070.11,1.13818,1.27997,1.15674,0.43294,0.53359,0.45829,0.29751,1.17306,2.77431,1.17845,0.0009035,0.0009035,0.0009035
16,2205.53,1.12875,1.2712,1.15036,0.44814,0.54728,0.4787,0.31095,1.1515,2.64712,1.16391,0.00087875,0.00087875,0.00087875
17,2349.39,1.11648,1.2559,1.14817,0.48088,0.53703,0.49348,0.32324,1.1472,2.7823,1.1622,0.000854,0.000854,0.000854
18,2487.04,1.11867,1.24963,1.14607,0.48709,0.53593,0.48878,0.32085,1.13228,2.51386,1.14778,0.00082925,0.00082925,0.00082925
19,2623.44,1.11766,1.24818,1.14286,0.47916,0.55106,0.4922,0.32221,1.12464,2.36759,1.14359,0.0008045,0.0008045,0.0008045
20,2764.89,1.10837,1.23588,1.13725,0.48571,0.53644,0.50172,0.33057,1.13378,2.51196,1.15389,0.00077975,0.00077975,0.00077975
21,2901.33,1.10361,1.21842,1.13131,0.49616,0.55787,0.51648,0.3421,1.12385,2.5187,1.15165,0.000755,0.000755,0.000755
22,3041.72,1.09343,1.21591,1.13381,0.48992,0.5561,0.51014,0.34198,1.1148,2.38006,1.14454,0.00073025,0.00073025,0.00073025
23,3177.58,1.08924,1.20662,1.12781,0.49519,0.57259,0.52408,0.34995,1.1118,2.49819,1.14552,0.0007055,0.0007055,0.0007055
24,3313.06,1.08327,1.20098,1.12296,0.51973,0.56286,0.52519,0.35251,1.09718,2.66949,1.14083,0.00068075,0.00068075,0.00068075
25,3453.87,1.07144,1.18822,1.1211,0.50978,0.56179,0.52433,0.35028,1.09676,2.62633,1.13496,0.000656,0.000656,0.000656
26,3586.8,1.07414,1.1818,1.11949,0.51393,0.54822,0.53495,0.35786,1.11376,2.57123,1.14306,0.00063125,0.00063125,0.00063125
27,3727.48,1.06699,1.18228,1.11966,0.51611,0.5725,0.54024,0.36571,1.07917,2.44965,1.11552,0.0006065,0.0006065,0.0006065
28,3862.5,1.0738,1.17566,1.11754,0.50138,0.57188,0.53954,0.36344,1.09245,2.74888,1.13246,0.00058175,0.00058175,0.00058175
29,4001.45,1.06288,1.16025,1.11354,0.53555,0.57013,0.54905,0.36898,1.08677,2.44774,1.13116,0.000557,0.000557,0.000557
30,4138.89,1.05711,1.15874,1.11352,0.53168,0.56223,0.55546,0.38009,1.0742,2.57193,1.12322,0.00053225,0.00053225,0.00053225
31,4272.52,1.04939,1.14377,1.10999,0.51582,0.59821,0.56147,0.38198,1.07613,2.65213,1.12428,0.0005075,0.0005075,0.0005075
32,4412.01,1.04353,1.14055,1.10946,0.54633,0.57192,0.56584,0.38333,1.0733,2.46999,1.12139,0.00048275,0.00048275,0.00048275
33,4546.65,1.04032,1.13275,1.10693,0.53973,0.57213,0.56268,0.38506,1.06925,2.54049,1.11879,0.000458,0.000458,0.000458
34,4686.84,1.0395,1.13145,1.10293,0.52691,0.58923,0.5716,0.39059,1.05622,2.45644,1.11378,0.00043325,0.00043325,0.00043325
35,4821.1,1.03305,1.11918,1.09836,0.5425,0.58804,0.5779,0.39554,1.04835,2.56933,1.10735,0.0004085,0.0004085,0.0004085
36,4959.54,1.03287,1.12183,1.09564,0.53934,0.6036,0.58262,0.39937,1.05113,2.60788,1.10634,0.00038375,0.00038375,0.00038375
37,5096.77,1.02588,1.11464,1.09751,0.56807,0.56788,0.58087,0.39864,1.05824,2.52852,1.11034,0.000359,0.000359,0.000359
38,5229.47,1.01928,1.10507,1.0953,0.55177,0.59376,0.59002,0.40699,1.04758,2.49373,1.10386,0.00033425,0.00033425,0.00033425
39,5371.21,1.01574,1.09648,1.09014,0.53944,0.5949,0.59147,0.40594,1.04172,2.51942,1.099,0.0003095,0.0003095,0.0003095
40,5504.38,1.01321,1.09256,1.08926,0.57857,0.56132,0.58933,0.4051,1.05122,2.53036,1.10796,0.00028475,0.00028475,0.00028475
